章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第四章,测试题,单选题,,** 国家是阶级统治的工具，中国历史上出现最早的国家距今已有( ),2000年左右,3000年左右,4000年左右,5000年左右,,,C
第四章,测试题,单选题,,* 我国古代文明社会进入文明时代约在 ( ),公元16世纪,公元11世纪,公元21世纪,公元3世纪,,,C
第四章,测试题,单选题,,** 我国历史上最早建立军队、制定刑法、设置监狱是在( ),夏朝,商朝,西周,东周,,,C
第四章,测试题,多选题,,* 下列关于“上古三代”及夏商周历史地位的描述，正确的是( ),“上古三代”指的是夏、商、周,中华大地上建立的第一个王朝是夏朝,商朝是中国历史上的第一个封建王朝,商朝是中国历史上第一个有出土文字证实的王朝,,,ABD
第四章,测试题,多选题,,* 下列关于商朝历史与文化特点的描述，正确的是(多选),商朝实行君主制，国家政权高度集中,商朝青铜器制作技术达到了很高的水平,商朝的文字主要是甲骨文，用于卜辞、铭文等领域,商朝时期经济逐渐由农业为主向手工业和商业贸易发展,,,ABCD
第四章,测试题,多选题,,** 下列关于西周政治制度与社会经济的描述，正确的是( ),西周实行分封制，巩固了对周边的统治,西周的分封制是西周的重要政治制度，也是西周历史的一个显著特点,西周时期宗法制与分封制密切相关，宗法制的核心是嫡长子继承制,西周时期社会经济繁荣，青铜器广泛应用于农业和手工业生产,,,ABC
第四章,测试题,多选题,,* 关于夏朝的建立及其特征，以下描述正确的是( ),夏朝是中国历史上的第一个王朝，标志着中国早期国家的形成,夏朝的建立者是禹，他的儿子启继位后，世袭制代替了禅让制,夏朝的政治中心主要在河南西部的阳城一带,夏朝已经建立了完备的官僚体系和法律制度,,,ABC
第四章,测试题,多选题,,* 下列关于商朝文化成就的描述，正确的是(多选),商朝是中国历史上第一个有出土文字证实的王朝，主要文字形式是甲骨文,商朝的青铜器制作技术达到了很高的水平，代表作品如司母戊鼎,商朝的商业贸易十分发达，形成了多个商业中心和货币体系,商朝的宗教信仰以祖先崇拜和自然崇拜为主，祭祀活动频繁,,,ABD
第四章,测试题,多选题,,* 关于西周的分封制与宗法制，以下描述正确的是( ),西周实行分封制，分封的对象主要是同姓贵族和异姓功臣,分封制是西周重要的政治制度，旨在巩固周王室的统治,宗法制的核心是嫡长子继承制，是维系分封制的重要纽带,宗法制与分封制相互独立，没有直接联系,,,ABC
第四章,测试题,多选题,,* 能体现族群之间的文化交流不是单向的有哪些?,妇好墓中发现了大量青铜器、海贝、和田玉,先秦时期中原语言文化影响了周边族群,周边族群给中原文字文化增添新词,,,,ABC
第四章,测试题,判断题,,** 商朝对“内服”实行直接统治，对“外服”的邦族则一般不干预其内部事务。,,,,,,,对
第四章,测试题,判断题,,** 商朝未改变聚族成邦、一邦一国的社会结构，尚不具备族群间大规模交融的条件。,,,,,,,对
第四章,测试题,判断题,,** 周初的族群拆分客观上打破了自夏商以来聚族为邦、一族一邦的局面，使“天下”各族群大规模混居杂处。,,,,,,,对
第四章,测试题,判断题,,** 周初建立新政治秩序开“华夏”之端倪。,,,,,,,对
第四章,测试题,判断题,,** 周王朝分封的诸多邦国被称为“诸夏”，也称为“诸华”,,,,,,,对
第四章,测试题,判断题,,** 春秋后期，“华夏”的观念开始出现。,,,,,,,对
第四章,测试题,判断题,,* “诸夏”到“华夏”，是从若干邦国的集合体变成了一致认同的共同体。,,,,,,,对
第四章,测试题,判断题,,* 汉字文化圈对“西戎”“北狄”“东夷”“南蛮”产生了深远影响,,,,,,,对
第四章,测试题,判断题,,* 夏朝是中国历史上第一个朝代。,,,,,,,"对
章节测验
已完成"
第五章,章节测验,单选题,,** 秦国在历史上的重要意义是(  )。,秦国是中国历史上首个中央集权大一统王朝,秦国是中国历史上首个分封制王朝,秦国是中国历史上首个由少数民族建立的王朝,秦国是中国历史上首个由农民起义建立的王朝,,,A
第五章,章节测验,单选题,,** 秦朝的皇帝称号是由(  )首次确立的。,秦始皇,汉武帝,商鞅,魏微,,,A
第五章,章节测验,单选题,,** 郡县制的起源于(  )。,春秋时期,秦国,齐国,吴国,,,A
第五章,章节测验,单选题,,** 汉朝初年封国下辖(  )。,贵族的采邑,郡县,封建领地,部落,,,B
第五章,章节测验,单选题,,** “郡县之制，无改于秦”这一说法是指(  )没有改变。,法律体系,行政区划,经济政策,文化教育,,,B
第五章,章节测验,单选题,,** 汉朝时期，汉武帝通过采取(  )削弱封国力量。,削藩,推恩令,设刺史,经略边疆,,,B
第五章,章节测验,单选题,,** 汉朝宣帝神爵二年设立的西域都护府的职能是(  )。,监察诸侯王国,掌控西域地区,管理边疆民族,扩展军事边疆,,,B
第五章,章节测验,单选题,,** 秦汉时期建立的中央集权郡县制对后世中国治理传统产生了(  )的影响。,短暂,形成大一统的制度基础,政治分裂,减弱地方自治权力,,,B
第五章,章节测验,单选题,,** 两汉时期的“属邦”后来因为(  )改称“属国”。,增强军事力量,避奴刘邦的名字,扩大疆域,提升行政效率,,,B
第五章,章节测验,单选题,,** 汉武帝在北部边塞设立属国的契机是(  )。,匈奴浑邪王部落的投降,对外战争的胜利,文景之治,属邦制度的废除,,,A
第五章,章节测验,单选题,,** (  )派遣张骞出使西域，与西域多国建立联系，开辟丝绸之路，史称“凿空”。,汉高祖,汉武帝,汉章帝,汉明帝,,,B
第五章,章节测验,单选题,,** (  )是汉朝专门负责处理归顺“蛮夷”事务的?,典属国,西域都护府,持节领护,匈奴中郎将,,,A
第五章,章节测验,单选题,,** “和亲”策略在(  )时期被使用得最多。,秦朝,西汉,东汉,三国,,,B
第五章,章节测验,单选题,,** “纳质”制度的主要目的是(  )。,加强边疆与中原的政治联系,减少边境冲突,提高边疆族群的地位,促进文化交流,,,A
第五章,章节测验,单选题,,** “使匈奴中郎将”是(  )时期设置的管理匈奴事务的职位。,秦朝,西汉,新朝,两汉,,,D
第五章,章节测验,单选题,,** “属国”的治理方式在(  )逐渐向一般郡县靠拢。,西汉初期,文景时期,汉武帝时期,东汉光武帝时期,,,D
第五章,章节测验,单选题,,** 在秦汉时期，匈奴的主要生活方式是(  )。,农耕,游牧,狩猎,渔业,,,B
第五章,章节测验,单选题,,** “均输法”是在(  )时期推出的经济制度。,秦朝,汉朝,唐朝,宋朝,,,B
第五章,章节测验,单选题,,** 汉朝政府在长安设立的平准官主要负责(  )。,管理盐铁专营,管理均输官存储的物资，调节物价,征收赋税,管理土地分配,,,B
第五章,章节测验,单选题,,** 秦统一后，为了加强中央集权，采取的措施是(  )。,毁壁垒、决川防,修建关塞、壁垒和堤防,割据称雄,分封诸侯,,,A
第五章,章节测验,单选题,,** 秦朝实行“车同轨”政策，要求车辆两轮距离一律是(  )。,四尺,五尺,六尺,七尺,,,C
第五章,章节测验,单选题,,** 汉朝在西北地区设置的河西四郡的主要目的是(  )。,发展农业,维持丝绸之路畅通,加强边防,促进贸易,,,B
第五章,章节测验,单选题,,** 东汉时期的“司禾府印”出土地点是(  )。,陕西西安,新疆和田地区民丰县尼雅遗址,甘肃敦煌,四川成都,,,B
第五章,章节测验,单选题,,** 秦始皇开凿的灵渠连接了(   )水系。,长江与珠江,黄河与长江,淮河与长江,珠江与淮河,,,A
第五章,章节测验,单选题,,** 秦朝实行的政策是重农抑商，其中“抑商”主要通过(  )的方式实现。,鼓励商业发展,设立市场自由交易,设关置卡限制商业活动,提供商业税收优惠,,,C
第五章,章节测验,单选题,,汉匈双方在经济上的互补性主要体现在(  )。,汉人向匈奴出售粮食、丝绸和铁质工具,匈奴向汉人出售皮革、良种马和养马技术,汉人向匈奴出售皮革和铁器,匈奴向汉人出售金银饰品,,,A
第五章,章节测验,单选题,,** 西汉时(  )从西域传入中原。,丝绸,铁器,凿井技术,胡桃,,,D
第五章,章节测验,单选题,,“编户齐民”制度的主要目的是(  )。,掌握人口信息，便于征税和征役,限制民众的流动性,加强对贵族阶层的控制,促进民族间的交流融合,,,A
第五章,章节测验,单选题,,秦朝统治者推动“行同伦”，用统一的伦理纲常规范各地民众行为，从而达到(  )之效。,郡县各级长官有考察和整肃民间习俗的职责,以立法形式纠肃民风,在会稽刻石铭文中批评民间的不良风气,六合同风，九州共贯,,,D
第五章,章节测验,单选题,,** 秦汉时期的人口迁徙政策主要目的是(  )。,加强中央集权,促进文化交流,开发边疆地区,所有以上答案,,,D
第五章,章节测验,单选题,,** 汉朝时期，向边疆转移人口的规模(  )。,减少,保持不变,有增无减,波动变化,,,C
第五章,章节测验,单选题,,** 两汉时期，大量中原人口自发向塞外迁徙的主要原因是(  )。,政治迫害,经济原因,逃避战乱,带去中原文化和技术,,,C
第五章,章节测验,单选题,,** “天子单于”汉字瓦当出土于(  )。,和林格尔县汉墓,龙城遗址,楼兰古城平台墓地,上孙家寨墓葬群,,,B
第五章,章节测验,单选题,,** 汉武帝采纳(  )的建议，确立了儒家思想的官方意识形态地位。,孔子,董仲舒,李斯,司马迁,,,B
第五章,章节测验,单选题,,** 西汉文景时期在中央设置(  )专门负责处理归顺“蛮夷”事务。,属邦,属国,典属国,典客,,,C
第五章,章节测验,单选题,,** “五星出东方利中国”织锦护臂是在(  )出土的。,敦煌悬泉置遗址,吐鲁番鄯善洋河墓地,楼兰古城平台墓地,新疆民丰尼雅遗址,,,D
第五章,章节测验,单选题,,** 汉武帝时期“凿空”西域的人物是(  )。,蒙恬,张骞,班超,郑吉,,,B
第五章,章节测验,单选题,,西汉时期通过西域传入中原的域外物产有(   )。,葡萄、石榴、大麻,葡萄、胡瓜、枣,红蓝花、胡豆、石榴,石榴、大麻、西瓜,,,C
第五章,章节测验,单选题,,汉代的“持节领护”统筹管理的族群有(  ),匈奴、鲜卑,乌桓、大宛,匈奴、百越,乌桓、百越,,,A
第五章,章节测验,多选题,,** 以下(   )等措施是秦汉王朝为构建全国性统一经济体系而采取的。,统一货币制度,标准化度量衡,制定统一的经济法律,建立全国道路系统,加强区域和族群间的经济互动,,ABCDE
第五章,章节测验,多选题,,** 下列(   )等措施是汉朝用来强化中原王朝对边疆治理。,修褒斜道,设河西四郡,开凿漕渠,开通沮县至下辩县的航道,,,ABD
第五章,章节测验,多选题,,** 西汉时期，以下(  )等因素促进了城镇和驿站的兴起。,关市贸易的繁荣,丝绸之路的开辟,农业的发展,手工业的兴盛,,,AB
第五章,章节测验,多选题,,秦汉时期文化发展的特点包括(  )。,百家思想汇流于儒，华夏文化认同奠基,中原文化向周边地区传播，对各地文化交融发展起到主导作用,周边族群文化、艺术、习俗传入中原，丰富了秦汉文化,大一统王朝以“一体”融汇“多元”，拓展了多元一体的中华文化格局,,,ABCD
第五章,章节测验,多选题,,** 汉武帝在确立儒家思想为官方意识形态过程中融合了(   )等学派的思想?,法家,道家,墨家,阴阳家,,,ABCD
第五章,章节测验,多选题,,** 秦汉以来人口迁徙包括以下(  )等类型。,中原地区内部的人口迁徙,中原到边疆的人口流动,周边族群向边郡和中原流动,北方流民南迁,,,ABCD
第五章,章节测验,多选题,,** 秦汉时期形成的“汉人”的共同文化心理与价值追求包括(  )。,大一统,农耕文化,儒家思想,佛教思想,,,ABC
第五章,章节测验,多选题,,秦汉时期能够体现“书同文”的案例包括(   )。,高句丽王陵前的“好太王碑”,天竺高僧在白马寺翻译《四十二章经》,尼雅遗址发现的汉简《仓颉篇》,南方地区出现的“鸟虫书”,,,AC
第五章,章节测验,多选题,,** 秦汉时期北方先后出现的游牧民族(族群)有(   )。,匈奴,乌桓,突厥,羌人,,,AB
第五章,章节测验,多选题,,** 秦汉时期的边疆先后存在(  )等边疆政权。,南越国,西域诸国,卫氏朝鲜,匈奴国家,,,ABCD
第五章,章节测验,判断题,,** 秦朝统一之前，列国马车车轨不一，道路宽窄有别，交通极为便利。,,,,,,,错
第五章,章节测验,判断题,,** 在交战期间，汉匈双方停止了关市贸易。,,,,,,,错
第五章,章节测验,判断题,,** 秦汉时期的“编户齐民”制度仅对农民阶层进行了户籍管理，与其他社会阶层无关。,,,,,,,错
第五章,章节测验,判断题,,** 编户齐民的实质是对春秋战国社会结构的重组。,,,,,,,对
第五章,章节测验,判断题,,** 秦代规格最高的道路是五尺道。,,,,,,,错
第五章,章节测验,判断题,,** 秦律规定父为部族人，母为秦人，子称“真”。,,,,,,,错
第五章,章节测验,判断题,,** 董仲舒将阴阳家的宇宙观与儒家政治哲学结合，从理论上解决了汉王朝的道统问题。,,,,,,,对
第五章,章节测验,判断题,,** 西汉时中央政府对匈奴所设关市称为“胡市”。,,,,,,,"对
章节测验
已完成"
第五章,测试题,单选题,,** 中华民族的主体民族---汉族，最终形成于( )。,夏朝,商朝,西周,秦汉时期,,,D
第五章,测试题,单选题,,** 我国多民族大一统格局确立的开端是( )。,夏朝,商朝,西周,秦朝,,,D
第五章,测试题,单选题,,** 前202年，刘邦建立汉朝， 史称( )。,东汉,后汉,西汉,秦,,,C
第五章,测试题,单选题,,** 新疆地区发现的最早的“中国”二字出现在( )上。,“五星出东方利中国”织锦护臂,何尊,司母戊鼎,李柏文书,,,A
第五章,测试题,单选题,,** “中国”最初是一个地域概念，泛指( )。,长江流域,黄河流域的中原地区,珠三角地区,漠北高原,,,B
第五章,测试题,单选题,,** 汉宣帝时，解忧公主之女( )与丈夫龟兹王绛宾一起去长安“学鼓琴”。,细君公主,苏祇婆,弟史,冯嫽,,,C
第五章,测试题,单选题,,** 细君公主在乌孙，经常抚琴长歌，创作了脍炙人口的( )。,《黄鹄歌》,《长恨歌》,《摩诃兜勒》,《西都赋》,,,A
第五章,测试题,单选题,,** 西汉察举制的官员选拔也以( )思想为标准，所选官员主要出自儒生。,道家,墨家,儒家,阴阳家,,,C
第五章,测试题,单选题,,** 秦代规格最高的道路是( ) 。,河西走廊,参天可汗大道,驰道,秦直道,,,C
第五章,测试题,单选题,,** 1959年，新疆和田地区民丰县尼雅遗址发掘出土了属( )时期的“司禾府印”。,东汉,西汉,西晋,东晋,,,A
第五章,测试题,单选题,,** 西汉时，中央政府对( )设有关市，也称“胡市”。,突厥,匈奴,吐谷浑,粟特人,,,B
第五章,测试题,单选题,,** 前220年，秦始皇下令修筑驰道，以( )为中心，通往全国各地。,阳关,嘉峪关,建康,咸阳,,,D
第五章,测试题,多选题,,* 秦系文字以小篆为正体。以下哪些作品合称“三仓”。,扬雄《方言》,李斯《仓颉篇》,赵高《爱历篇》,胡毋敬《博学篇》,,,BCD
第五章,测试题,多选题,,** ( )两个统一封建王朝的建立，开创并奠定了此后两千多年中国历史发展的基本政治格局。,夏,商,秦,汉,,,CD
第五章,测试题,多选题,,** 秦朝制定了适合统一王朝的法律颁行全国，推行( )，对于增强中华文化认同和中华民族凝聚力产生深远影响。,车同轨,书同文,行同伦,统一文化风俗,,,ABCD
第五章,测试题,判断题,,** 多民族大一统格局是我国历史发展的主脉，也是我国自秦汉以来就基本形成的历史传统和独特优势。,,,,,,,对
第五章,测试题,判断题,,** 秦国顺应时势，积极变法，最终完成了天下 一统，建立了中国历史上首个中央集权大一统王朝。,,,,,,,对
第五章,测试题,判断题,,* 前221年，秦王赢政统一六国， 一改西周的分封制，建立了中国历史上第一 个中央集权大一统王朝——秦朝。,,,,,,,对
第五章,测试题,判断题,,** 秦汉两朝是疆域空前广大的大一统王朝。,,,,,,,对
第五章,测试题,判断题,,** 在秦汉时期“自在的”中华民族开始形成。,,,,,,,对
第五章,测试题,判断题,,** 自周代开始已有“溥天之下，莫非王土，率土之滨，莫非王臣”的观念。,,,,,,,对
第五章,测试题,判断题,,** 郡县制起源于春秋时期。,,,,,,,对
第五章,测试题,判断题,,** 秦汉建立中央集权大一统王朝的过程，是多元一体超大规模政治共同体形成的过程。,,,,,,,对
第五章,测试题,判断题,,** “和亲”是将中原女性嫁给对方，以改善双方关系的一种政治结盟方式。,,,,,,,错
第五章,测试题,判断题,,"** 秦汉时期，以长城为分界线，呈现出农耕、游牧社会持续不断交往交流交融
的壮观景象。",,,,,,,对
第五章,测试题,判断题,,** “司禾府印”出土于新疆民丰县尼雅遗址。,,,,,,,对
第五章,测试题,判断题,,** “司禾府印”的出土表明，东汉时期已在民丰县尼雅遗址所在区域内屯田。,,,,,,,对
第五章,测试题,判断题,,** 秦朝鼓励经商，商贾云集。,,,,,,,错
第五章,测试题,判断题,,** 西汉时，中央政府对匈奴尚未设有关市。,,,,,,,错
第五章,测试题,判断题,,** 秦汉时期，中国历史上人口规模最为庞大的“汉人”群体开始出现。,,,,,,,"对
章节测验
已完成"
第六章,章节测验,单选题,,** 在魏晋南北朝时期，( )成为了中原王朝经营西域并与西域各族交往交流交融的枢纽?,长安,襄阳,高昌,洛阳,,,C
第六章,章节测验,单选题,,** 以下不属于北魏孝文帝改革内容的是( )?,向中原王朝纳贡,系统学习中原王朝的礼仪制度,改说汉语用汉姓,改行中原王朝祭祀制度,,,A
第六章,章节测验,单选题,,在律学与法制建设上，魏晋( )重要的法制进展。,制定了《泰始律》,制成魏律18篇,实现了“律令分途”,制定了《晋令》40卷,,,C
第六章,章节测验,单选题,,** 北魏孝文帝将都城迁至( )。,平城,洛阳,长安,建康,,,B
第六章,章节测验,单选题,,** “天子单于”汉字瓦当出土于( )遗址。,和林格尔县汉墓,龙城遗址,楼兰古城平台墓地,上孙家寨墓葬群,,,B
第六章,章节测验,单选题,,** 魏晋南北朝时期，在河西走廊建立政权的鲜卑、氐、卢水胡及汉人等，虽然族属不同，却都纷纷以( )为国号。,赵,燕,凉,秦,,,C
第六章,章节测验,单选题,,** 魏晋南北朝经济区别于其他历史阶段经济的最突出特征是( )。,中原精耕农业与南方山地经济实现互补与融合,内迁胡人实现定居化、农耕化,中外经济交往活跃发达,寺院经济发达,,,B
第六章,章节测验,单选题,,** 以下人物中，为俚汉融合与南越开发做出重要贡献的是( )。,冯太后,李清照,花木兰,冼夫人,,,D
第六章,章节测验,单选题,,以下关于莫尔寺遗址说法不正确的是( )。,该寺始建年代可追溯到3世纪后半期,具有中原佛寺的特征，初步判断属于藏传佛教建筑,莫尔寺遗址由中心正殿和两侧配殿、配房等构成的长方形大佛殿是今新疆地区极少见的佛殿类型,莫尔寺遗址体现了中华文明多元一体、兼容并蓄的特征,,,B
第六章,章节测验,单选题,,** 以下史书中，( )是魏晋南北朝时期的代表性作品。,《史记》,《资治通鉴》,《十六国春秋》,《左传》,,,C
第六章,章节测验,多选题,,“五胡”建立的政权经历的中华化进程包括( )几方面。,“汉号”立国,“礼法”治国,“郡县”理国,“经史”记国,,,ABCD
第六章,章节测验,多选题,,关于西藏阿里故如甲木墓地出土的“王侯文鸟兽纹锦”，下列说法正确的是( )。,该文物是距今1800多年的带有“王侯”汉字的织锦。,此织锦是汉晋时期(2—3世纪)中原王朝赐予边疆地区前来觐见的首领的赠品,该文物展现了秦汉时期宏大的交流网络。,该文物是早期西藏西部与中原地区交往交流交融的重要考古实证。,,,ABD
第六章,章节测验,多选题,,** 坞堡作为魏晋南北朝时期的一种基层组织，其主要发挥了( )功能。,政治,经济,军事,文化,,,ABC
第六章,章节测验,多选题,,** 云冈石窟作为多元文化融合的典范，关于其创造过程，以下说法正确的是( )。,凉州僧匠带来西域风格的佛教造像艺术,昙曜建议征集全国各地宝像于京师,徐州僧匠北上主持云冈佛事,佛像造像艺术融合了鲜卑、汉以及中亚文化的精髓,,,ABCD
第六章,章节测验,多选题,,** 下列属于魏晋南北朝时期的文学作品有( )。,《敕勒歌》,《营州歌》,《木兰辞》,《竹枝词》,,,AC
第六章,章节测验,判断题,,** 拓跋鲜卑建立的北魏政权及其后继者(西魏—北周)通过融合胡汉文化，开启了均田制、三长制、府兵制等体现大一统精神的制度革新。,,,,,,,对
第六章,章节测验,判断题,,** 在魏晋南北朝时期，内迁的非华夏族群通常通过族源寻根将自己的起源追溯到炎黄，以证明自己与华夏同源。,,,,,,,对
第六章,章节测验,判断题,,** 魏晋南北朝时期各族群、各政权在处理对外关系时多自称“中国”，都追求中国一统。,,,,,,,对
第六章,章节测验,判断题,,** 魏晋南北朝时期正是各族群相互同化，形成“你中有我、我中有你”的中华民族共同体的重要阶段。,,,,,,,错
第六章,章节测验,判断题,,** 为解决“自古无胡人为天子者”这一根深蒂固的观念，掌握政权之后的胡人君主主动认同华夏祖源，确立了脉络清晰的“夷夏同源”历史叙事。,,,,,,,对
第六章,章节测验,判断题,,** 魏碑上承汉隶传统、下启唐楷新风，为现代汉字的结体与笔法奠定了坚实的基础。,,,,,,,对
第六章,章节测验,判断题,,** 1965年，大同发掘的北魏司马金龙夫妇合葬墓出土了三块墓志，提供了司马金龙家族与丁零勋贵三代通婚的证据。,,,,,,,错
第六章,章节测验,判断题,,** “计口授田”在客观上促进了游牧族群农耕化的胡汉交融进程。,,,,,,,"对
章节测验
已完成"
第六章,测试题,单选题,,** 魏晋南北朝至隋唐是“( )”概念形成并日臻成熟的重要时期。,华夏,中华,天下,中国,,,A
第六章,测试题,单选题,,** 北方胡人入主中原以后，无一例外地接受了以( )思想为核心的中原文化传统，并十分注重对西域地区的经营与治理。西域在加强“华化”的进程中，也对中原文化产生重大影响。,道家,儒家,法家,,,,B
第六章,测试题,单选题,,** 魏晋南北朝时期，西域在加强( )的进程中，也对中原文化产生重大影响。,汉化,同化,华化,中国化,,,C
第六章,测试题,单选题,,** 前凉于327年在今新疆吐鲁番地区设置高昌郡，这是中原的( )第一次在西域地区出现。,分封制,郡县制,行省制,,,,B
第六章,测试题,单选题,,** 401年，( )历经艰辛来到长安，建立译场，译佛经数百卷。他和南朝真谛、唐朝玄奘并称为我国佛教三大翻译家。,慧远,道安,佛图澄,鸠摩罗什,,,D
第六章,测试题,单选题,,"** ( )即为多种文化融合的典范，先是凉州僧匠带来西域风格的佛教造像艺术，之后是昙曜建议征集全国各地宝像于京师，最后是徐州僧匠北上主持佛事,各族群共同创造出这座旷世无双的佛教艺术殿堂。",云冈石窟,敦煌莫高窟,洛阳龙门石窟,克孜尔石窟,,,A
第六章,测试题,单选题,,** 胡人所建政权在史书撰写方面，也多承中原王朝修史传统，最重要的著作是北魏崔鸿撰写的( )，在十六国政权各自撰写的国史和起居注等基础上，辨析真伪、去粗取精、除繁补缺，最终写成一部记载十六个政权历史的史书。,《国书》,《十六国春秋》,《国记》,《魏书》,,,B
第六章,测试题,单选题,,* 北魏实行了一项至关重要的( )政策，即解散部落组织。这一政策试图使各部落大人与其部民(牧民)脱离关系，使牧民由部落成员转变成为国家的编户，定居、分得土地以从事农耕或定居牧放，不得随便迁徙。,“离散部落”,“整合部落”,“编户齐民,“推广郡县”,,,A
第六章,测试题,多选题,,** 魏晋南北朝时期，西域地区作为丝绸之路上的重要中转站与战略要冲，成为佛教传播到中原的必经之地，龟兹、于阗、疏勒、高昌成为西域四大佛教中心。,龟兹,于阗,疏勒,高昌,,,ABCD
第六章,测试题,多选题,,"* 魏晋南北朝时期，龟兹、于阗、疏勒、高昌成为西域四大佛教中心。尤其是疏勒(今新疆喀什),连接( )，成为佛教东传的必经之地，是古代印度佛教东传中国的第一站。",中华文明,印度文明,波斯文明,地中海文明,,,ABCD
第六章,测试题,多选题,,** 南方族群实现( )、( )，对推动“蛮户”与汉人文化融合、风俗教化发挥了重要作用，也推动了蛮、汉基层民众的社会交融。,编户化,郡县化,华化,华夏化,,,AB
第六章,测试题,判断题,,* 魏晋南北朝至隋唐是“中华”概念形成并日臻成熟的重要时期。在这一历史时期，“中华”成为兼容胡汉、兼容南北的概念，到唐代最终成为新的胡汉融合体的统称。(),,,,,,,"对
章节测验
已完成"
第七章,章节测验,单选题,,** ( )年，隋朝在北周统一北方的基础上击败南方的陈朝，重建大一统王朝,562,589,572,554,,,B
第七章,章节测验,单选题,,** ( )年，唐朝取代隋朝，唐朝在隋朝基础上进一步发展，成为中国历史上的一个强盛时期。,618,632,658,608,,,A
第七章,章节测验,单选题,,** 隋朝在前期关注突厥问题，隋文帝对突厥采用了( )战略，促使突厥分为了东西两部。,分离,分化,羁靡,分隔,,,B
第七章,章节测验,单选题,,** ( )，在完成对漠北对统一后，唐朝设立燕然都护府，将铁勒各部纳入统一政治体制,贞观十五年,贞观十八年,贞观二十一年,贞观二十三年,,,C
第七章,章节测验,单选题,,** 在教育上，唐朝强调( )的正统地位，努力消除南北朝历史以来的文化分歧，凝聚文化认同，维护国家统一。,道教,佛教,明学,儒教,,,D
第七章,章节测验,单选题,,** 在青藏高原，建立了统一吐蕃政权的松赞干布，主动与唐朝交流交往，以( )的方式增进联系，互鉴交融。,和亲,通市,招抚,上贡,,,A
第七章,章节测验,单选题,,** 南北朝时期，边疆族群各政权自觉认同中原的核心地位和“中国”正统，自觉融入中华民族，这为( )大一统提供了坚实基础,隋朝,唐朝,宋朝,明朝,,,B
第七章,章节测验,单选题,,** 唐朝的( )打破了门阀氏族对人才的垄断和限制，拓展了国家启用人才的途径，为促进各族人才参与国家治理发挥了积极的作用。,三省六部制,九品中正制,科举制,察举制,,,C
第七章,章节测验,单选题,,** 唐宪宗( )，柳宗元任柳州刺史，提出“皇风不异于遐迩，盛泽无间于华夷”等比较开明的族群观念。,元和五年,元和十年,元和十五年,元和二十年,,,B
第七章,章节测验,单选题,,** 大一统政治体制的重构，强化了不同区间的经济联系，消弭了地理环境造成的族群区隔。各族群通过( )拉近距离，联系日益密切。,茶马古道,朝贡制度,互市制度,丝绸之路,,,D
第七章,章节测验,单选题,,** 作为隋朝与唐朝的基本经济制度，( )和租庸调制被沿用与发展，并在全国范围内得到推行。,户口制,赋役制,均田制,绢马贸易制,,,C
第七章,章节测验,单选题,,** ( )的开凿不仅推动了南方社会的经济发展，也促进了海上丝绸之路的兴起。,大运河,郑国渠,都江堰,安丰塘,,,A
第七章,章节测验,单选题,,** 各族群的迁徙往来促进了社会经济的交流，在唐朝直接辖区内，边疆族群人口比例空前上升，唐都( )是当时世界上最大的国际化都市。,汴京,开封,咸阳,长安,,,D
第七章,章节测验,单选题,,** 唐朝实行了( )的宗教政策，充分吸取并融合了各种宗教政策，宗教中国化程度进一步加深。,兼容并包,求同存异,排斥异己,兼而有之,,,A
第七章,章节测验,单选题,,** 唐朝实行开放的教育政策，与唐朝保持朝贡关系的政权通过将自己的宗室或豪酋子弟以( )的形式派往唐朝学习，进入太学和其他学校。,王子,学子,圣子,质子,,,D
第七章,章节测验,单选题,,** 隋唐五代继承了北朝以来以( )为本，道，释为辅的文化政策，表现出兼容并包的气度和博采众长的气魄,佛,儒,明学,理学,,,B
第七章,章节测验,单选题,,** 贞观十五年，松赞干布派遣使团前来长安迎娶( )，和亲会盟是我国民族交往的主流。,文成公主,太平公主,襄城公主,平阳公主,,,A
第七章,章节测验,单选题,,** ( )是第一位把中原文化传递到青藏高原的和亲公主，受到了当地民众的崇敬与爱戴。,太平公主,襄城公主,文成公主,平阳公主,,,C
第七章,章节测验,单选题,,** ( )年，唐朝统一高昌后，在高昌设置了安西都护府，开启了中央政权对西域治理更加完备的时代。,620,630,640,650,,,C
第七章,章节测验,单选题,,** 唐朝凭借强大的国力，在西域实行了一系列的经济政策推动了社会经济的发展，在赋税方面，实行了( ),赋役制,租庸调制,两税法,摊丁入亩制,,,B
第七章,章节测验,单选题,,** 唐朝凭借强大的国力，在西域实行了一系列的经济政策推动了社会经济的发展，在商贸管理方面，主要是通过( )来实行的,互市,丝绸之路,茶马古道,租庸调制,,,A
第七章,章节测验,单选题,,** 发生于755年至763年的( )是唐朝由盛转衰的转折点。,九世之乱,三监之乱,安史之乱,七国之乱,,,C
第七章,章节测验,单选题,,** 开元之治又称开元盛世，是( )统治前期所出现的盛世。,武则天,李世民,李隆基,李治,,,C
第七章,章节测验,单选题,,** 五代十国时期，各政权在建立、发展过程中都在不同程度上受到了( )思想的影响。,儒家,道家,佛教,理学,,,A
第七章,章节测验,单选题,,** ( )结束了魏晋以来政治分裂、社会动荡的乱局，重建了“天下共主”的政治秩序，大一统的特征更为凸显。,秦汉,隋唐,辽宋,明清,,,B
